title,year,imdb_votes,location,geocode
Manhattan Murder Mystery,1993,29797,"21 Club - 21 West 52nd Street, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Bryant Park, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Central Park West, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Chelsea Hotel - 222 West 23rd Street, Chelsea, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Chelsea, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"East Village, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Elaine's Restaurant - 1703 Second Avenue, East Side, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Gramercy Park, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"HarperCollins Publishers - 10 W 53rd Street, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Hotel 17, 225 East 17th Street, East Village, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Lanza's - 168 1st Avenue, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Lincoln Center, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Madison Square Garden, 7th Avenue, Chelsea, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Midtown, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"National Arts Club - 15 Gramercy Park South, Gramercy Park, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Time Cafe - 380 Lafayette Street, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"Upper East Side, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"West Side, Manhattan, New York City, New York, USA",
Uptown Girls,2003,30081,"Central Park, Manhattan, New York City, New York, USA",
Uptown Girls,2003,30081,"Coney Island, Brooklyn, New York City, New York, USA",
Uptown Girls,2003,30081,"New York City, New York, USA",
Uptown Girls,2003,30081,"Silvercup Studios - 4222 22nd Street, Long Island City, Queens, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"110th Street, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Bay Ridge, Brooklyn, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Belasco Theater - 111 West 44th Street, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Boat House, Prospect Park Lake, Brooklyn, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Broadway, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Brooklyn, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Claremont Riding Academy - 175 West 89th Street, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Conservatory Garden, Central Park, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Edison Hotel - 228 West 47th Street, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Nassau Street, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"New Yorker Hotel - 481 Eighth Avenue, Bay Ridge, Brooklyn, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Upper West Side, Manhattan, New York City, New York, USA",
Bullets Over Broadway,1994,30480,"Williamsburg, Brooklyn, New York City, New York, USA",
Mickey Blue Eyes,1999,30694,"Knickerbocker Bar & Grill -33 University Place, Greenwich Village, Manhattan, New York City, New York, USA",
Mickey Blue Eyes,1999,30694,"New York City, New York, USA",
The Believer,2001,31520,"Sunnyside, Queens, New York City, New York, USA",
The Believer,2001,31520,"New York City, New York, USA",
Summer of Sam,1999,31877,"Bronx, New York City, New York, USA",
Summer of Sam,1999,31877,"CBGB's - 315 Bowery, Manhattan, New York City, New York, USA",
Summer of Sam,1999,31877,"Flushing Meadows Park, Queens, New York City, New York, USA",
Summer of Sam,1999,31877,"New York City, New York, USA",
Summer of Sam,1999,31877,"Throggs Neck, Country Club, The Bronx, New York City, New York, USA",
Small Time Crooks,2000,32168,"Doyers Street, Manhattan, New York City, New York, USA",
Small Time Crooks,2000,32168,"Mott Street, Manhattan, New York City, New York, USA",
Small Time Crooks,2000,32168,"Riverbank State Park - 679 Riverside Drive, Manhattan, New York City, New York, USA",
Small Time Crooks,2000,32168,"Shea Stadium - 12301 Roosevelt Avenue, Flushing Meadows Park, Queens, New York City, New York, USA",
Prime,2005,35855,"Greenwich Village, Manhattan, New York City, New York, USA",
Prime,2005,35855,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Prime,2005,35855,"New York City, New York, USA",
The Producers,2005,35934,"116th Street and Amsterdam Avenue, New York City, New York, USA",
The Producers,2005,35934,"Bethesda Fountain, Central Park, Manhattan, New York City, New York, USA",
The Producers,2005,35934,"Brooklyn, New York City, New York, USA",
The Producers,2005,35934,"Central Park, Manhattan, New York City, New York, USA",
The Producers,2005,35934,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
The Producers,2005,35934,"Fifth Avenue, Manhattan, New York City, New York, USA",
The Producers,2005,35934,"New York City, New York, USA",
The Producers,2005,35934,"Steiner Studios - 15 Washington Avenue, Brooklyn Navy Yard, Brooklyn, New York City, New York, USA",
Friends with Kids,2011,36952,"New York City, New York, USA",
Perfect Stranger,2007,38744,"Manhattan, New York City, New York, USA",
Perfect Stranger,2007,38744,"New York City, New York, USA",
"New York, I Love You",2008,40575,"Fifth Avenue, Manhattan, New York City, New York, USA",
"New York, I Love You",2008,40575,"Dakota Hotel - 1 West 72nd St. at Central Park West, Manhattan, New York City, New York, USA",
"New York, I Love You",2008,40575,"Central Park, Manhattan, New York City, New York, USA",
"New York, I Love You",2008,40575,"New York City, New York, USA",
The Producers,1967,41596,"Broadway Theatre - 1681 Broadway, Manhattan, New York City, New York, USA",
The Producers,1967,41596,"Central Park, Manhattan, New York City, New York, USA",
The Producers,1967,41596,"Cort Theatre - 138 West 48th Street, Manhattan, New York City, New York, USA",
The Producers,1967,41596,"Empire State Building - 350 Fifth Avenue, Manhattan, New York City, New York, USA",
The Producers,1967,41596,"Lincoln Center for the Performing Arts - Columbus Avenue & 61st Street, Manhattan, New York City, New York, USA",
The Producers,1967,41596,"New York City, New York, USA",
After Hours,1985,41963,"128 Spring Street, Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"28 Howard Street, Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"307 Spring Street, Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"Emerald Pub - 308 Spring Street, Soho, Manhattan, New York City, New York, USA",
After Hours,1985,41963,"Manhattan, New York City, New York, USA",
After Hours,1985,41963,"Metropolitan Life Tower - 11 Madison Avenue, Manhattan, New York City, New York, USA",
